expediente-10-s-13-orden-del-dia-1905-votacion-en-general	25/04/2013 5:39:00	Expediente 10-S-13 - Orden del Día 1905 - Votación en General.	10-S-13	http://infoleg.mecon.gov.ar/infolegInternet/anexos/110000-114999/114258/norma.htm	MODIFICACION DE LA LEY 24937 DE CREACION DEL CONSEJO DE LA MAGISTRATURA (TEXTO ORDENADO 1999) Y SUS MODIFICATORIAS.	Modificación del Consejo de la Magistratura
expediente-121-s-12-orden-del-dia-1308-votacion-en-general	14/11/2012 19:33:00	Expediente 121-S-12 - Orden del Día 1308 - Votación en General.	121-S-12	http://www.infoleg.gov.ar/infolegInternet/anexos/205000-209999/205495/norma.htm	REGLAMENTACION DEL INSTITUTO DEL PER SALTUM; MODIFICACION DEL CODIGO PROCESAL CIVIL Y COMERCIAL.	Ley de Per Saltum
expediente-01-pe-12-votacion-en-general	14/03/2012 21:42:00	Expediente 01-PE-12 - Votación en General.	01-PE-12	http://www.infoleg.gob.ar/infolegInternet/anexos/195000-199999/195621/norma.htm	MODIFICACION DE LA LEY 24144 (CARTA ORGANICA DEL BANCO CENTRAL DE LA REPUBLICA ARGENTINA) Y DE LA LEY 23928 (LEY DE CONVERTIBILIDAD).	Modificación de la Carta Orgánica del BCRA
expediente-11-s-13-orden-del-dia-1907-votacion-en-general-y-particular	25/04/2013 7:39:00	Expediente 11-S-13 - Orden del Día 1907 - Votación en General y Particular.	11-S-13	http://www.infoleg.gob.ar/infolegInternet/anexos/210000-214999/214383/norma.htm	CREACION DE LA CAMARA FEDERAL DE CASACION EN LO CONTENCIOSO ADMINISTRATIVO FEDERAL, LA CAMARA FEDERAL Y NACIONAL DE CASACION DEL TRABAJO Y LA SEGURIDAD SOCIAL Y LA CAMARA FEDERAL Y NACIONAL DE CASACION EN LO CIVIL Y COMERCIAL, CON SEDE EN LA CAPITAL FEDERAL.	Creación de 3 nuevas cámaras de casación
expediente-29-s-12-orden-del-dia-288-votacion-en-general-	3/05/2012 21:29:00	Expediente 29-S-12 - Orden del Día 288 - Votación en General.-	29-S-12	http://infoleg.mecon.gov.ar/infolegInternet/anexos/195000-199999/196894/norma.htm	SOBERANIA HIDROCARBURIFERA DE LA REPUBLICA ARGENTINA; DECLARAR DE UTILIDAD PUBLICA Y SUJETO A EXPROPIACION EL 51% DEL PATRIMONIO DE YACIMIENTOS PETROLIFEROS FISCALES SOCIEDAD ANONIMA (YPF S.A.) REPRESENTADO POR IGUAL PORCENTAJE DE LA ACCIONES CLASE D DE DICHA EMPRESA PERTENECIENTES A REPSOL YPF S.A SUS CONTROLANTES O CONTROLADAS EN FORMA DIRECTA E INDIRECTA.	Estatización de YPF
exp-11-pe-11-orden-del-dia-03-votacion-en-general	14/12/2011 21:16:00	Exp. 11-PE-11 - Orden del Día 03 - Votación en General.	11-PE-11	http://www.infoleg.gob.ar/infolegInternet/anexos/190000-194999/192134/norma.htm	PRORROGA HASTA EL 31 DE DICIEMBRE DE 2013 LA VIGENCIA DE LA LEY 26204 DE EMERGENCIA ECONOMICA, PRORROGADA POR LAS LEYES 26339, 26456 Y 26563.	Prórroga de la ley de emergencia
expediente-1-pe-11-orden-del-dia-09-votacion-en-general	16/12/2011 5:45:00	Expediente 1-PE-11 - Orden del Día 09 - Votación en General.	1-PE-11	http://www.infoleg.gob.ar/infolegInternet/anexos/190000-194999/192150/norma.htm	PROTECCION AL DOMINIO NACIONAL SOBRE LA PROPIEDAD, POSESION O TENENCIA DE LAS TIERRAS RURALES, LIMITANDO LA ADQUISICION PARA LOS EXTRANJEROS.	Ley de Tierras
expediente-8-pe-11-orden-del-dia-07-votacion-en-general	15/12/2011 22:54:00	Expediente 8-PE-11 - Orden del Día 07 - Votación en General.	8-PE-11	http://www.infoleg.gob.ar/infolegInternet/anexos/190000-194999/192137/norma.htm	MODIFICACION DEL CODIGO PENAL SOBRE PREVENCION, INVESTIGACION Y SANCION DE ACTIVIDADES DELICTIVAS CON FINALIDAD TERRORISTA.	Ley Antiterrorismo
expediente-04-pe-12-orden-del-dia-1458-votacion-en-general	21/11/2012 19:21:00	Expediente 04-PE-12 - Orden del Día 1458 - Votación en General.	04-PE-12	http://infoleg.gov.ar/infolegInternet/anexos/205000-209999/206592/norma.htm	LEY DE MERCADO DE CAPITALES: REFORMA INTEGRAL DEL REGIMEN DE LA OFERTA PUBLICA DE VALORES NEGOCIABLES AUTORIZADOS POR LA COMISION NACIONAL DE VALORES. DEROGACION DE LA LEY 17811, DEL ARTICULO 80 DE LA LEY 11672, DECRETO 656/92, DECRETO 677/01, DECRETO 749/00, DECRETO 476/04 Y LOS ARTICULOS 80 A 84 DEL DECRETO 2284/91.	Ley de Mercado de Capitales
exp-22-pe-09-y-otros-orden-del-dia-2005-vot-en-general	17/09/2009 1:15:00	Exp. 22-PE-09 y otros - Orden del Día 2005 - Vot. en General	22-PE-09	http://www.infoleg.gob.ar/infolegInternet/anexos/155000-159999/158649/norma.htm	REGULACION DE LOS SERVICIOS DE COMUNICACION AUDIOVISUAL EN TODO EL AMBITO DEL TERRITORIO DE LA REPUBLICA ARGENTINA Y PROMOCION DE LAS TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION. DEROGACION DE LA LEY 22285 (LEY DE RADIODIFUSION).	Ley de Medios
