distrito,agrupacion,candidato,categoria
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","12 - Pertica, Leonel Norberto",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","13 - Menendez, Claudia Liliana",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","14 - Della Vedova, Roman",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","15 - Antedomenico, Andres Maria",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","16 - Vallarino, Ricardo",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","17 - Arana, Nora Beatriz",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","18 - Flores, Julio Eduardo",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","19 - Font, Francisco Jose",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","20 - Lyonnet, Blanca Mabel",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","21 - Mayoral, Daniel",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","22 - Melcon, Susana Beatriz",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","23 - Fittipaldi, Hugo Alberto",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","24 - Ruiz, Maria Elena",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","25 - Arceluz, Victoria Florencia",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","26 - Lopez, Mariana",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","27 - Sguiglia, Deonisio Armando",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","28 - Arruti, Silvana Cecilia",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","29 - Sosa, Carolina Mariel",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","30 - Ru, Mario Cristobal",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","31 - Ramirez, Irma Nelida",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","32 - Santillan, Daniela Ivana",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","33 - Barberio Novillo, Jorge Carlos",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","34 - Crisostomo, Pablo Gabriel",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","35 - Kuhn Gonzalez, Luis Fernando",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"1 - Massa, Sergio Tomas",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"2 - Giustozzi, Ruben Dario",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"3 - Tundis, Mirtha",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"4 - Sola, Felipe Carlos",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"5 - De Mendiguren, Jose Ignacio",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"6 - Martinez, Soledad",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"7 - Perez, Jose Adrian",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"8 - Guzman, Sandro Adrian",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"9 - Azucena Ehcosor, Maria",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"10 - Alegre, Gilberto Oscar",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"11 - Daer, Hector Ricardo",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"12 - Gonzalez, Gladys Esther",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"13 - Gribaudo, Christian Alejandro",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"14 - D' Alessandro, Marcelo",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"15 - Schwindt, Maria Liliana",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"16 - Fabiani, Eduardo Alberto",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"17 - Alonso, Horacio Fernando",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"18 - Litza, Monica Edith",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"19 - Caviglia, Franco Agustin",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"20 - Melzi, Carlos Emilio",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"21 - Couly, Veronica",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"22 - Solmi, Jorge Alberto",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"23 - Gianola, Fabian Javier",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"24 - Vanelli, Sofía",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"25 - Saredi, Roberto Miguel",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"26 - Errazu, Horacio Alberto",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"27 - Grandi, Ana Maria",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"28 - Alessandrini, Fabian Dario",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"29 - Alende, Carlos Marcelo",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"30 - Schuster, Elisa Noemi",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"31 - Di Salvo, Miguel Angel",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"32 - Errecalde, Sergio Orlando",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"33 - Tedeschi, Maria Jose",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"34 - Ibarra, Gabriel Felix",Diputados Nacionales
Buenos Aires,FRENTE RENOVADOR,"35 - Larraburu, Damaso",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"1 - De Narvaez Steuer, Francisco",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"2 - Plaini, Francisco Omar",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"3 - Rucci, Claudia Monica",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"4 - Ferrari, Gustavo Alfredo Horacio",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"5 - Amoroso, Victor Daniel",Diputados Nacionales
