ley,fecha,asuntoD,asuntoS,url,nombre,sumario
ley-27095,2014-11-13,1475,2040,http://servicios.infoleg.gob.ar/infolegInternet/anexos/240000-244999/241142/norma.htm,Día Nacional de los Valores Villeros,"INSTITUYESE EL DIA 7 DE OCTUBRE DE CADA AÑO COMO EL DIA NACIONAL DE LA IDENTIDAD VILLERA, EN HOMENAJE AL PADRE CARLOS MUGICA EN EL ANIVERSARIO DE SU NACIMIENTO."
ley-27156,2014-11-19,1493,2086,http://servicios.infoleg.gob.ar/infolegInternet/anexos/245000-249999/249820/norma.htm,"Prohibición de indultos, amnistías y conmutación de penas en delitos de lesa humanidad","LAS PENAS O PROCESOS PENALES SOBRE LOS DELITOS DE GENOCIDIO, DE LESA HUMANIDAD Y CRIMENES DE GUERRA CONTEMPLADOS EN LOS ARTICULOS 6°, 7º Y 8° DEL ESTATUTO DE ROMA DE LA CORTE PENAL INTERNACIONAL Y EN LOS TRATADOS INTERNACIONALES DE DERECHOS HUMANOS CON JERARQUIA CONSTITUCIONAL, NO PUEDEN SER OBJETO DE AMNISTIA, INDULTO O CONMUTACION DE PENA, BAJO SANCION DE NULIDAD ABSOLUTA E INSANABLE DEL ACTO QUE LO DISPONGA."
ley-27094,2014-12-05,1501,2039,http://servicios.infoleg.gob.ar/infolegInternet/anexos/240000-244999/241141/norma.htm,Creación de la Comisión Bicameral para investigar lavado de dinero y fuga de divisas,CREASE EN EL AMBITO DEL CONGRESO DE LA NACION LA COMISION BICAMERAL INVESTIGADORA DE INSTRUMENTOS BANCARIOS Y FINANCIEROS DESTINADOS A FACILITAR LA EVASION DE TRIBUTOS Y LA CONSECUENTE SALIDA DE DIVISAS DEL PAIS.
ley-27120,2014-12-16,1506,2046,http://servicios.infoleg.gob.ar/infolegInternet/anexos/240000-244999/240491/norma.htm,Elección de Parlamentarios del Mercosur,MODIFICASE EL CODIGO ELECTORAL NACIONAL EN LO RELATIVO A LA ELECCION DE CARGOS DE PARLAMENTARIOS DEL MERCOSUR.
ley-27126,2015-02-26,1535,2049,http://servicios.infoleg.gob.ar/infolegInternet/anexos/240000-244999/243821/norma.htm,Creación de la Agencia Federal de Inteligencia,CREACION DE LA AGENCIA FEDERAL DE INTELIGENCIA. LEY N° 25.520. MODIFICACION.
ley-27132,2015-04-08,1536,2055,http://servicios.infoleg.gob.ar/infolegInternet/anexos/245000-249999/247081/norma.htm,Política de reactivación de ferrocarriles,"POLITICA DE REACTIVACION DE LOS FERROCARRILES DE PASAJEROS Y DE CARGAS, RENOVACION Y MEJORAMIENTO DE LA INFRAESTRUCTURA FERROVIARIA, INCORPORACION DE TECNOLOGIAS Y SERVICIOS. DECLARACION DE INTERES PUBLICO NACIONAL."
ley-27160,2015-07-15,1556,2079,http://servicios.infoleg.gob.ar/infolegInternet/anexos/245000-249999/249221/norma.htm,Movilidad de las asignaciones familiares,"LAS ASIGNACIONES FAMILIARES PREVISTAS EN LA LEY 24.714, SUS NORMAS COMPLEMENTARIAS Y MODIFICATORIAS, SERAN MOVILES. EL CALCULO DEL INDICE DE MOVILIDAD SE REALIZARA CONFORME A LO PREVISTO EN EL ANEXO DE LA LEY 26.417. LA MOVILIDAD SE APLICARA AL MONTO DE LAS ASIGNACIONES FAMILIARES Y A LA ACTUALIZACION DE LOS RANGOS DE INGRESOS DEL GRUPO FAMILIAR QUE DETERMINAN EL COBRO, EN LOS CASOS EN QUE CORRESPONDE SU UTILIZACION. EN NINGUN CASO LA APLICACION DE DICHO INDICE PODRA PRODUCIR UNA DISMINUCION DEL VALOR DE LA ASIGNACION."
ley-27200,2015-10-08,1578,2115,http://servicios.infoleg.gob.ar/infolegInternet/anexos/250000-254999/254341/norma.htm,Emergencia económica,"PRORROGASE HASTA EL 31 DE DICIEMBRE DE 2017 LA VIGENCIA DE LOS ARTICULOS 1°, 2°, 3°, 4° Y 6° DE LA LEY 26.204, PRORROGADA POR SUS SIMILARES 26.339, 26.456, 26.563, 26.729 Y 26.896."
ley-27249,2016-03-15,1592,2130,http://servicios.infoleg.gob.ar/infolegInternet/anexos/255000-259999/259940/norma.htm,Acuerdo con los holdouts,"DEROGANSE LAS LEYES 26.017, 26.547, 26.886, 26.984 Y SUS NORMAS REGLAMENTARIAS Y COMPLEMENTARIAS, COMO ASI TAMBIEN TODA OTRA LEY, DECRETO O NORMA QUE SEA CONTRARIA O INCOMPATIBLE CON LAS DISPOSICIONES DE LA PRESENTE LEY."
ley-27275,2016-05-18,1598,2203,http://servicios.infoleg.gob.ar/infolegInternet/anexos/265000-269999/265949/norma.htm,Ley de acceso a la información pública,"LA PRESENTE LEY TIENE POR OBJETO GARANTIZAR EL EFECTIVO EJERCICIO DEL DERECHO DE ACCESO A LA INFORMACION PUBLICA, PROMOVER LA PARTICIPACION CIUDADANA Y LA TRANSPARENCIA DE LA GESTION PUBLICA"
ley-27251,2016-05-19,1600,2133,http://servicios.infoleg.gob.ar/infolegInternet/anexos/260000-264999/261634/norma.htm,Ley antidespidos (emergencia pública en materia ocupacional),"QUEDAN PROHIBIDOS DURANTE EL TÉRMINO DE CIENTO OCHENTA (180) DÍAS LOS DESPIDOS O SUSPENSIONES SIN JUSTA CAUSA DE TRABAJADORES TANTO EN EL ÁMBITO PÚBLICO COMO EN EL ÁMBITO PRIVADO. ESTA NORMATIVA SE APLICARÁ A TODOS LOS TRABAJADORES, SIN IMPORTAR LA MODALIDAD CONTRACTUAL, NI LA FECHA DE INGRESO AL EMPLEO."
ley-27260,2016-06-16,1605,2152,http://servicios.infoleg.gob.ar/infolegInternet/anexos/260000-264999/263691/norma.htm,Reparación histórica para jubilados y pensionados,"CREASE EL PROGRAMA NACIONAL DE REPARACION HISTORICA PARA JUBILADOS Y PENSIONADOS, CON EL OBJETO DE IMPLEMENTAR ACUERDOS QUE PERMITAN REAJUSTAR LOS HABERES Y CANCELAR LAS DEUDAS PREVISIONALES CON RESPECTO A AQUELLOS BENEFICIARIOS QUE REUNAN LOS REQUISITOS ESTABLECIDOS POR LA PRESENTE LEY."
ley-27304,2016-06-23,1646,2196,http://servicios.infoleg.gob.ar/infolegInternet/anexos/265000-269999/267115/norma.htm,Instauración de la figura del arrepentido para los casos de corrupción ,"SUSTITUYASE EL ARTICULO 41 TER E INCORPORASE COMO ARTICULO 276 BIS DEL CODIGO PENAL. DEROGASE EL ARTICULO 29 TER DE LA LEY 23.737, LA LEY 25.241 Y EL ARTICULO 31 DE LA LEY 25.246."
ley-27263,2016-06-30,1652,2175,http://servicios.infoleg.gob.ar/infolegInternet/anexos/260000-264999/263955/norma.htm,Ley de autopartes,"SE INSTITUYE EL REGIMEN DE DESARROLLO Y FORTALECIMIENTO DEL AUTOPARTISMO ARGENTINO, POR EL CUAL SE OTORGA UN BONO ELECTRONICO DE CREDITO FISCAL QUE PODRA SER CEDIDO A TERCEROS, PARA EL PAGO DE IMPUESTOS NACIONALES, POR UN MONTO EQUIVALENTE A UN PORCENTAJE DEL VALOR EX FABRICA DE LAS AUTOPARTES NACIONALES A LAS QUE HACE REFERENCIA EL ARTICULO 4º, NETO DEL IMPUESTO AL VALOR AGREGADO (IVA), GASTOS FINANCIEROS, Y DE DESCUENTOS Y BONIFICACIONES."
ley-27270,2016-09-01,1656,2176,http://servicios.infoleg.gob.ar/infolegInternet/anexos/265000-269999/265554/norma.htm,Ratificación del Acuerdo de París sobre cambio climático,"APRUEBASE EL ACUERDO DE PARIS, HECHO EN LA CIUDAD DE PARIS —REPUBLICA FRANCESA— EL 12 DE DICIEMBRE DE 2015, QUE CONSTA DE VEINTINUEVE (29) ARTICULOS, CUYA COPIA AUTENTICADA EN IDIOMA ESPAÑOL FORMA PARTE DE LA PRESENTE LEY."
ley-27284,2016-09-28,1663,2212,http://servicios.infoleg.gob.ar/infolegInternet/anexos/265000-269999/266550/norma.htm,Acuerdo entre la Nación y Santa Cruz por la coparticipación,"RATIFICASE EL ACUERDO SUSCRIPTO CON FECHA 1° DE AGOSTO DE 2016 ENTRE EL ESTADO NACIONAL Y LA PROVINCIA DE SANTA CRUZ, QUE COMO ANEXO I FORMA PARTE INTEGRANTE DE LA PRESENTE."
