asuntoId,diputadoId,bloqueId,voto
1300,485,67,0
1300,486,103,0
1300,489,109,0
1300,490,109,0
1300,496,67,0
1300,497,54,0
1300,502,67,0
1300,503,177,1
1300,516,169,1
1300,530,109,0
1300,531,172,1
1300,538,67,0
1300,539,172,1
1300,541,67,0
1300,547,67,0
1300,551,67,0
1300,554,29,3
1300,562,67,0
1300,566,84,1
1300,573,67,0
1300,587,67,0
1300,591,169,1
1300,606,136,1
1300,609,172,1
1300,632,53,1
1300,634,172,1
1300,637,67,0
1300,639,136,1
1300,647,53,1
1300,653,67,0
1300,654,67,0
1300,662,67,0
1300,664,136,1
1300,667,84,1
1300,671,67,0
1300,674,58,3
1300,675,67,0
1300,678,67,0
1300,694,67,0
1300,698,173,1
1300,700,67,3
1300,702,69,1
1300,703,67,1
1300,709,54,0
1300,710,67,0
1300,711,172,1
1300,720,136,1
1300,722,168,1
1300,723,54,0
1300,726,151,1
1300,728,67,0
1300,730,172,1
1300,732,67,3
1300,733,67,0
1300,739,67,0
1300,743,69,1
1300,745,169,3
1300,757,54,0
1300,763,84,1
1300,768,69,1
1300,775,67,0
1300,777,67,0
1300,778,67,0
1300,786,18,1
1300,788,67,0
1300,790,67,0
1300,792,136,1
1300,797,67,3
1300,800,172,1
1300,803,37,1
1300,806,157,3
1300,807,69,1
1300,809,67,0
1300,814,109,0
1300,816,123,1
1300,818,18,1
1300,819,67,0
1300,821,67,0
1300,822,119,0
1300,830,169,1
1300,832,67,0
1300,834,67,0
1300,835,67,0
1300,837,173,1
1300,838,67,0
1300,839,67,0
1300,841,79,3
1300,842,119,0
1300,849,34,1
1300,851,172,1
1300,866,67,0
1300,875,69,1
1300,877,54,0
1300,881,109,3
1300,882,172,1
1300,884,67,0
1300,893,67,0
1300,895,172,1
1300,908,136,1
1300,911,67,0
1300,915,67,0
1300,922,67,0
1300,926,173,1
1300,927,142,1
1300,928,67,0
1300,935,67,0
1300,939,84,1
1300,941,172,1
1300,954,18,1
1300,955,69,1
1300,956,67,0
1300,961,67,0
1300,965,136,1
1300,974,136,1
1300,978,172,1
1300,980,67,0
1300,987,53,1
1300,989,172,1
1300,997,58,0
1300,1003,69,1
1300,1004,67,0
1300,1005,67,0
1300,1008,53,1
1300,1015,70,0
1300,1018,172,1
1300,1019,67,0
1300,1021,67,0
1300,1022,67,1
1300,1023,123,1
1300,1025,67,0
1300,1031,67,0
1300,1032,67,0
1306,12,54,0
1306,23,172,1
1306,25,69,1
1306,29,172,1
1306,30,67,0
1306,38,172,1
1306,42,53,1
1306,43,136,1
1306,44,67,0
1306,46,172,1
1306,47,172,1
1306,51,69,1
1306,60,67,0
1306,66,142,1
1306,69,67,0
